OBJECTID,Latitude,Longitude,StopID,Stop_name,Direction,WkdyService,SatService,SunService,Mode,Routes_ser,Community_Name,Community_Type,Full_Label
726,40.444159,-79.950081,E19400,FORBES AVE AT DITHRIDGE ST,Both,Yes,Yes,Yes,Bus,"28X, 58, 61A, 61B, 61C, 61D, 67, 69",NORTH OAKLAND,HOOD,North Oakland Neighborhood
727,40.439833,-79.895568,E19420,FORBES AVE AT CELERON ST,Inbound,Yes,Yes,Yes,Bus,61A,POINT BREEZE,HOOD,Point Breese Neighborhood
728,40.439629,-79.896579,E19430,FORBES AVE AT EAST END AVE,Outbound,Yes,Yes,Yes,Bus,61A,REGENT SQUARE,HOOD,Regent Square Neighborhood
729,40.437271,-79.979707,E19440,FORBES AVE AT GIST ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
730,40.438289,-79.961275,E19460,FORBES AVE AT HALKET ST (MAGEE HOSPITAL),Both,Yes,Yes,Yes,Bus,"28X, 61A, 61B, 61C, 61D, 67, 69, 81, 83",SOUTH OAKLAND,HOOD,South Oakland Neighborhood
731,40.437862,-79.991356,E19470,FORBES AVE AT MCANULTY DR,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
732,40.437207,-79.977887,E19480,FORBES AVE AT JUMONVILLE ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",BLUFF,HOOD,Bluff Neighborhood
733,40.437697,-79.988717,E19510,FORBES AVE AT MAGEE ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
734,40.442722,-79.937873,E19520,FORBES AVE AT MARGARET MORRISON ST NS,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
735,40.439635,-79.959442,E19570,FORBES AVE AT MCKEE PL,Both,Yes,Yes,Yes,Bus,"28X, 58, 61A, 61B, 61C, 61D, 67, 69, 81, 83",CENTRAL OAKLAND,HOOD,Central Oakland Neighborhood
736,40.440408,-79.958338,E19580,FORBES AVE AT MEYRAN AVE,Inbound,Yes,Yes,Yes,Bus,"81, 83",CENTRAL OAKLAND,HOOD,Central Oakland Neighborhood
737,40.437373,-79.981704,E19590,FORBES AVE AT MILTENBERGER ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
738,40.441438,-79.956952,E19595,FORBES AVE AT OAKLAND AVE,Inbound,Yes,Yes,Yes,Bus,"81, 83",CENTRAL OAKLAND,HOOD,Central Oakland Neighborhood
739,40.444672,-79.943553,E19610,FORBES AVE AT MOREWOOD AVE FS (CARNEGIE MELL,Both,Yes,Yes,Yes,Bus,"28X, 58, 61A, 61B, 61C, 61D, 67, 69",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
740,40.437063,-79.974731,E19620,FORBES AVE AT MOULTRIE ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",BLUFF,HOOD,Bluff Neighborhood
741,40.437938,-79.930575,E19630,FORBES AVE AT MURDOCH ST,Inbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
742,40.437676,-79.931065,E19640,FORBES AVE AT MURDOCH ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
743,40.438123,-79.923613,E19650,FORBES AVE AT MURRAY AVE FS,Inbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
744,40.437959,-79.923192,E19660,FORBES AVE AT MURRAY AVE,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
745,40.438994,-79.934178,E19670,FORBES AVE AT NORTHUMBERLAND ST FS,Inbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
746,40.438946,-79.934353,E19680,FORBES AVE AT NORTHUMBERLAND ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
747,40.43922,-79.894972,E19690,FORBES AVE AT PEEBLES ST,Outbound,Yes,Yes,Yes,Bus,61A,REGENT SQUARE,HOOD,Regent Square Neighborhood
748,40.440461,-79.935451,E19700,FORBES AVE AT PLAINFIELD ST,Inbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
749,40.437538,-79.985319,E19720,FORBES AVE AT PRIDE ST (MERCY HOSPITAL),Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
750,40.43791,-79.933397,E19740,FORBES AVE AT SCHENLEY DR (GOLF COURSE),Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
751,40.437125,-79.976152,E19750,FORBES AVE AT SENECA ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",BLUFF,HOOD,Bluff Neighborhood
752,40.437936,-79.919571,E19770,FORBES AVE AT SHADY AVE,Both,Yes,Yes,Yes,Bus,"61A, 61B, 64, 74",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
753,40.437594,-79.986792,E19780,FORBES AVE AT STEVENSON ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
754,40.43743,-79.982857,E19790,FORBES AVE AT VAN BRAAM ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D",BLUFF,HOOD,Bluff Neighborhood
755,40.438119,-79.9275,E19800,FORBES AVE AT WIGHTMAN ST,Inbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
756,40.437905,-79.927877,E19810,FORBES AVE AT WIGHTMAN ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
757,40.443785,-79.938967,E19830,FORBES AVE OPP BEELER ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
758,40.443666,-79.951295,E19840,FORBES AVE OPP BELLEFIELD AVE NS,Both,Yes,Yes,Yes,Bus,"28X, 61A, 61B, 61C, 61D, 67, 69",NORTH OAKLAND,HOOD,North Oakland Neighborhood
759,40.439494,-79.899344,E19850,FORBES AVE OPP BRIARCLIFF RD,Outbound,Yes,Yes,Yes,Bus,"61A, 61B",REGENT SQUARE,HOOD,Regent Square Neighborhood
760,40.444379,-79.948873,E19870,FORBES AVE OPP CRAIG ST,Both,Yes,Yes,Yes,Bus,"28X, 61A, 61B, 61C, 61D, 67, 69",NORTH OAKLAND,HOOD,North Oakland Neighborhood
761,40.442693,-79.937514,E19890,FORBES AVE OPP MARGARET MORRISON ST,Inbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
762,40.444537,-79.942539,E19910,FORBES AVE OPP MOREWOOD AVE (CARNEGIE MELLON),Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D, 67, 69",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
763,40.44057,-79.935813,E19920,FORBES AVE OPP PLAINFIELD ST,Outbound,Yes,Yes,Yes,Bus,"61A, 61B, 61C, 61D",SQUIRREL HILL NORTH,HOOD,Squirrel Hill North Neighborhood
764,40.386536,-79.757897,E20030,FOREST AVE AT 6TH ST,Inbound,Yes,No,No,Bus,"69, P69",,,
765,40.385602,-79.759239,E20050,5TH ST AT DUQUESNE AVE,Inbound,Yes,No,No,Bus,"69, P69",,,
766,40.429803,-79.92337,E20055,FORWARD AVE AT MURRAY AVE,Both,Yes,Yes,Yes,Bus,65,SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
767,40.429205,-79.920849,E20060,FORWARD AVE AT SHADY AVE,Both,Yes,Yes,Yes,Bus,65,SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
768,40.458625,-79.908277,E20310,FRANKSTOWN AVE AT 5TH AVE,Outbound,Yes,Yes,Yes,Bus,"77, 86",LARIMER,HOOD,Larimer Neighborhood
769,40.458035,-79.903587,E20320,FRANKSTOWN AVE AT BENNETT ST FS,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD WEST,HOOD,Homewood West Neighborhood
770,40.456007,-79.889895,E20330,FRANKSTOWN AVE AT BRADDOCK AVE,Inbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD NORTH,HOOD,Homewood North Neighborhood
771,40.455926,-79.890205,E20340,FRANKSTOWN AVE AT BRADDOCK AVE,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
772,40.455578,-79.887941,E20350,FRANKSTOWN AVE AT BRUSHTON AVE,Inbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD NORTH,HOOD,Homewood North Neighborhood
773,40.455514,-79.888249,E20360,FRANKSTOWN AVE AT BRUSHTON AVE,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
774,40.456425,-79.891778,E20370,FRANKSTOWN AVE AT COLLIER ST,Inbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD NORTH,HOOD,Homewood North Neighborhood
775,40.456353,-79.892066,E20380,FRANKSTOWN AVE AT COLLIER ST,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
776,40.455057,-79.879898,E20385,FRANKSTOWN AVE AT DORNBUSH ST,Outbound,Yes,Yes,Yes,Bus,77,EAST HILLS,HOOD,East Hills Neighborhood
777,40.458161,-79.903647,E20390,FRANKSTOWN AVE AT EAST VIEW ST,Inbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD WEST,HOOD,Homewood West Neighborhood
778,40.459167,-79.909792,E20420,FRANKSTOWN AVE AT FINLEY ST NS,Inbound,Yes,Yes,Yes,Bus,"77, 86",LARIMER,HOOD,Larimer Neighborhood
779,40.457335,-79.896462,E20450,FRANKSTOWN AVE AT HOMEWOOD AVE,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
780,40.457563,-79.897533,E20455,FRANKSTOWN AVE AT HOMEWOOD HOUSE,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
781,40.459592,-79.911556,E20470,FRANKSTOWN AVE AT JULIUS ST,Outbound,Yes,Yes,Yes,Bus,"77, 86",LARIMER,HOOD,Larimer Neighborhood
782,40.45793,-79.898361,E20480,FRANKSTOWN AVE AT LANG AVE NS,Inbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD NORTH,HOOD,Homewood North Neighborhood
783,40.457853,-79.898729,E20490,FRANKSTOWN AVE AT LANG AVE,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
784,40.458317,-79.905801,E20500,FRANKSTOWN AVE OPP LASCHALL ST,Inbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD WEST,HOOD,Homewood West Neighborhood
785,40.458242,-79.906262,E20510,FRANKSTOWN AVE AT LASCHALL ST,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD WEST,HOOD,Homewood West Neighborhood
786,40.460293,-79.913288,E20520,FRANKSTOWN AVE AT LINCOLN AVE,Inbound,Yes,Yes,Yes,Bus,"77, 86",LARIMER,HOOD,Larimer Neighborhood
787,40.458521,-79.901,E20550,FRANKSTOWN AVE AT MURTLAND ST,Inbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD NORTH,HOOD,Homewood North Neighborhood
788,40.458425,-79.901303,E20560,FRANKSTOWN AVE AT MURTLAND ST,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD WEST,HOOD,Homewood West Neighborhood
789,40.455036,-79.886265,E20565,FRANKSTOWN AVE AT OAKWOOD ST,Outbound,Yes,Yes,Yes,Bus,"77, 86",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
