District,District Name,StopID,StopName,Routes Impacted
20,Wilkinsburg Wilkins Braddock and vicinity,E70157,SWISSVALE AVE AT COAL ST,61A
42,Homewood/Lincoln-Lemington,E70158,PENN AVE AT CARNEGIE PL FS,"67, 69, 71C"
15,Pittsburgh East (remainder),E70159,LIBERTY AVE AT 29TH ST FS,"54, 86, 87, 88, 91"
17,Verona Oakmont Penn Hills,E70162,FRANKSTOWN RD AT EVERNIA DR FS,"77, P16"
13,East Liberty,E70164,HIGHLAND AVE OPP RIPPEY ST FS,71B
13,East Liberty,E70179,EAST LIBERTY DIV DRVWY AT EMPLOYEE PARKING LOT,"P10, P17"
19,Monroeville Pitcairn Turtle Creek,E70181,OLD WILLIAM PENN HWY AT BEATTY RD,P12
20,Wilkinsburg Wilkins Braddock and vicinity,E70182,ROSS AVE AT WOOD ST FS (SAVE A LOT),"61A, 67, 69, 79, P12, P67, P69, P78"
13,East Liberty,E70209,EAST LIBERTY BLVD OPP DAHLEM PL,"74, 75, 77, 82, 86, 89"
20,Wilkinsburg Wilkins Braddock and vicinity,E70215,BRADDOCK AVE AT HAWKINS VILLAGE NS,"59, 71, P7"
8,Oakland,E70217,VA HOSPITAL TRANSIT LOOP AT SHELTER,83
20,Wilkinsburg Wilkins Braddock and vicinity,E70228,LAYOVER BRUSHTON TERMINAL,"68, 69, 71, 71C, 71D, 79, 86"
10,Shadyside,E70230,ELLSWORTH AVE AT EAST LIBERTY STATION,75
10,Shadyside,E70231,ELLSWORTH AVE OPP SPAHR ST,75
10,Shadyside,E70232,ELLSWORTH AVE AT COLLEGE ST,75
10,Shadyside,E70233,ELLSWORTH AVE AT SPAHR ST,75
10,Shadyside,E70234,ELLSWORTH AVE OPP EAST LIBERTY STATION,75
13,East Liberty,E70236,FIFTH AVE RAMP AT FIFTH AVE NS,"P10, P17"
42,Homewood/Lincoln-Lemington,E70237,FIFTH AVE AT HAMILTON AVE,P10
42,Homewood/Lincoln-Lemington,E70239,WASHINGTON BLVD AT SILVER LAKE DR,P10
15,Pittsburgh East (remainder),E70242,GROSS ST AT FRIENDSHIP AVE,64
15,Pittsburgh East (remainder),E70243,FRIENDSHIP AVE OPP HOWLEY ST,64
15,Pittsburgh East (remainder),E70244,39TH ST AT BUTLER ST,64
15,Pittsburgh East (remainder),E70245,40TH ST OPP GOVERNMENT WAY STEPS,"64, 93"
15,Pittsburgh East (remainder),E70246,FRIENDSHIP AVE AT HOWLEY ST,64
21,Wilmerding Wall North Versailles,E70251,ELECTRIC AVE AT DYNAMO WAY,"69, P69"
42,Homewood/Lincoln-Lemington,E70252,EAST HILLS DR OPP WILNER DR,79
42,Homewood/Lincoln-Lemington,E70254,WOOD ST OPP TIOGA ST,"71D, 86"
17,Verona Oakmont Penn Hills,E70255,ROBINSON BLVD AT FRANKSTOWN RD FS,79
17,Verona Oakmont Penn Hills,E70256,ROBINSON BLVD AT #2600 (OPP E GATE),79
17,Verona Oakmont Penn Hills,E70257,ROBINSON BLVD AT FRANKSTOWN RD,79
20,Wilkinsburg Wilkins Braddock and vicinity,E70258,ROBINSON BLVD OPP DOUGLASS DR,79
17,Verona Oakmont Penn Hills,E70260,MT CARMEL RD AT VERONA RD FS,"79, P17"
17,Verona Oakmont Penn Hills,E70261,MT CARMEL RD OPP DOLLMAN RD,"79, P17"
17,Verona Oakmont Penn Hills,E70262,MT CARMEL RD AT DOLLMAN RD,79
17,Verona Oakmont Penn Hills,E70263,MT CARMEL RD AT VERONA RD,79
21,Wilmerding Wall North Versailles,E70264,BRADDOCK AVE AT ELECTRIC AVE,"59, 68, 69, P68, P69"
42,Homewood/Lincoln-Lemington,E70265,FRANKSTOWN AVE OPP BLACKADORE AVE,77
42,Homewood/Lincoln-Lemington,E70266,TOKAY ST AT BENNETT ST,77
13,East Liberty,E70267,LARIMER AVE AT MEADOW ST,74
13,East Liberty,E70268,LARIMER AVE AT MEADOW ST,74
8,Oakland,E70271,DARRAGH ST AT FIFTH AVE,"81, 83"
8,Oakland,E70273,ALLEQUIPPA ST AT SR RESIDENCE (TERRACE),83
17,Verona Oakmont Penn Hills,E70276,LEECHBURG RD AT SALTSBURG RD FS,"77, P16"
