District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
26,Baldwin Brentwood Whitehall West Mifflin,0.0784961306022914,0.1563232532961077,0.046223006793829347,0.06955137623665393,0.03132440088426903,0.05560476911418774,0.04552363039479806,0.15945577301180638,0.07290776648125048,0.0819337293736761,0.05794099121038618,0.5347669031933179,0.14523914103109734,0.12720093418033923,0.0907555138794002,0.02148367126789104,0.017879948914431672,0.0,0.019839160014541155,0.04135217040497077,0.014355588543665622,0.03705528163165656,0.02168672827429576,0.021621072657691948,0.027798884830970483,0.009269633046409289,,,,,,,,,,,,,,,,,,
27,Allegheny County Southeast (remainder),0.0,0.027540867093105898,0.0,0.0,0.0,0.022659063625450178,0.014237355635205097,0.024875837401627077,0.093630053005509,0.006172839506172839,0.07340114297874578,0.10834397983837969,0.009259259259259259,0.00909090909090909,0.025432900432900432,0.013711677600199593,0.013888888888888888,0.0,0.009933774834437087,0.049618067014442505,0.011194029850746268,0.047254169579746014,0.035687737210882725,0.02708969544719072,0.03330999666300203,0.01879760893560141,0.0053535272698731675,,,,,,,,,,,,,,,,,
28,Allegheny County West,0.0751383477346946,0.1281693945164484,0.054491964824176606,0.03258484591435061,0.023994687477494243,0.11609195219337495,0.07615596196817831,0.22712152058742513,0.0880879247577883,0.12987711905870825,0.08338220890760219,0.49462709606800315,0.19345544595361913,0.22527234197304033,0.11738728613951799,0.014804964539007093,0.05122334694296723,0.0,0.05279082230639269,0.07364853624157347,0.029065040650406507,0.020202020202020204,0.005681818181818182,0.0,0.02619233394508408,0.03097359605079981,0.001668489719566906,0.006256964694766559,,,,,,,,,,,,,,,,
29,Armstrong County East,,,,,0.0026325686348251222,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0068933039727505,,,,,,,,,,,,,,,
30,Armstrong County West,,,,,0.009928512347867187,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.004080598489180758,0.0,,,,,,,,,,,,,,
31,Beaver County South,0.007462686567164179,0.0,0.0,0.02566667270161339,0.005329272177098264,,,0.0,0.0,,,0.04878048780487805,,0.0,0.0,,,,,,,,,,,,,0.007804114574202238,,,0.005486571405901311,,,,,,,,,,,,,
32,Beaver County North,0.016216216216216217,0.0111731843575419,0.004672897196261682,0.06467955310631672,0.002608484286349045,,,0.0,0.0,,,0.052083333333333336,,0.029411764705882353,0.011363636363636364,,,,,,,,,,,,,0.020861561960617784,,,0.026995149010524345,0.0071938556739706856,,,,,,,,,,,,
33,Butler County,0.0,0.0,0.0,0.0005847953216374269,0.001966559026597127,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0029740591888929484,0.0,0.0,0.0,0.00046800831208672756,0.002956879786892596,,,,,,,,,,,
34,Fayette County,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,2.5199985946613354e-05,,,,,,,,,,
35,Greene County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
36,Indiana County,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.00021478558714476342,,,,,,,,
37,Lawrence County,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.00028975106257570914,,,,,,,
